link_id,from_node_id,to_node_id,link_type,lanes,free_speed,geometry
195N0001AB,1,2,1,3,65,"LINESTRING (-77.3 38.6, -77.3 38.62)"
195N0001BA,2,1,1,3,65,"LINESTRING (-77.3 38.62, -77.3 38.6)"
195N0002AB,2,3,1,3,65,"LINESTRING (-77.3 38.62, -77.3 38.64)"
195N0002BA,3,2,1,3,65,"LINESTRING (-77.3 38.64, -77.3 38.62)"
195N0003AB,3,4,1,3,65,"LINESTRING (-77.3 38.64, -77.3 38.66)"
195N0003BA,4,3,1,3,65,"LINESTRING (-77.3 38.66, -77.3 38.64)"
195N0004AB,4,5,1,3,65,"LINESTRING (-77.3 38.66, -77.3 38.68)"
195N0004BA,5,4,1,3,65,"LINESTRING (-77.3 38.68, -77.3 38.66)"
195N0005AB,5,6,1,3,65,"LINESTRING (-77.3 38.68, -77.3 38.7)"
195N0005BA,6,5,1,3,65,"LINESTRING (-77.3 38.7, -77.3 38.68)"
FRNT0001AB,11,12,3,2,35,"LINESTRING (-77.303 38.6, -77.303 38.62)"
FRNT0001BA,12,11,3,2,35,"LINESTRING (-77.303 38.62, -77.303 38.6)"
FRNT0002AB,12,13,3,2,35,"LINESTRING (-77.303 38.62, -77.303 38.64)"
FRNT0002BA,13,12,3,2,35,"LINESTRING (-77.303 38.64, -77.303 38.62)"
FRNT0003AB,13,14,3,2,35,"LINESTRING (-77.303 38.64, -77.303 38.66)"
FRNT0003BA,14,13,3,2,35,"LINESTRING (-77.303 38.66, -77.303 38.64)"
FRNT0004AB,14,15,3,2,35,"LINESTRING (-77.303 38.66, -77.303 38.68)"
FRNT0004BA,15,14,3,2,35,"LINESTRING (-77.303 38.68, -77.303 38.66)"
FRNT0005AB,15,16,3,2,35,"LINESTRING (-77.303 38.68, -77.303 38.7)"
FRNT0005BA,16,15,3,2,35,"LINESTRING (-77.303 38.7, -77.303 38.68)"
