link_id,from_node_id,to_node_id,link_type,lanes,free_speed,geometry
3001AB,1,2,3,2,35,"LINESTRING (-111.900 33.4000, -111.890 33.4000)"
3001BA,2,1,3,2,35,"LINESTRING (-111.890 33.4000, -111.900 33.4000)"
3002AB,2,3,3,2,35,"LINESTRING (-111.890 33.4000, -111.880 33.4000)"
3002BA,3,2,3,2,35,"LINESTRING (-111.880 33.4000, -111.890 33.4000)"
3003AB,3,4,3,2,35,"LINESTRING (-111.880 33.4000, -111.870 33.4000)"
3003BA,4,3,3,2,35,"LINESTRING (-111.870 33.4000, -111.880 33.4000)"
3004AB,4,5,3,2,35,"LINESTRING (-111.870 33.4000, -111.860 33.4000)"
3004BA,5,4,3,2,35,"LINESTRING (-111.860 33.4000, -111.870 33.4000)"
5101AB,6,7,5,1,25,"LINESTRING (-111.900 33.3960, -111.890 33.3960)"
5102AB,7,8,5,1,25,"LINESTRING (-111.890 33.3960, -111.880 33.3960)"
5103AB,8,9,5,1,25,"LINESTRING (-111.880 33.3960, -111.870 33.3960)"
5104AB,9,10,5,1,25,"LINESTRING (-111.870 33.3960, -111.860 33.3960)"
