link_id,from_node_id,to_node_id,link_type,lanes,free_speed,geometry
4001AB,1,2,1,3,65,"LINESTRING (-111.900 33.5000, -111.890 33.5000)"
4001BA,2,1,1,3,65,"LINESTRING (-111.890 33.5000, -111.900 33.5000)"
4002AB,2,3,1,3,65,"LINESTRING (-111.890 33.5000, -111.880 33.5000)"
4002BA,3,2,1,3,65,"LINESTRING (-111.880 33.5000, -111.890 33.5000)"
4003AB,3,4,1,3,65,"LINESTRING (-111.880 33.5000, -111.870 33.5000)"
4003BA,4,3,1,3,65,"LINESTRING (-111.870 33.5000, -111.880 33.5000)"
4004AB,4,5,1,3,65,"LINESTRING (-111.870 33.5000, -111.860 33.5000)"
4004BA,5,4,1,3,65,"LINESTRING (-111.860 33.5000, -111.870 33.5000)"
3501AB,11,12,3,2,35,"LINESTRING (-111.900 33.4980, -111.890 33.4980)"
3502AB,12,13,3,2,35,"LINESTRING (-111.890 33.4980, -111.880 33.4980)"
3503AB,13,14,3,2,35,"LINESTRING (-111.880 33.4980, -111.870 33.4980)"
3504AB,14,15,3,2,35,"LINESTRING (-111.870 33.4980, -111.860 33.4980)"
